,genre,runtimeminutes,averagerating,numvotes
0,Action,"53,91","6,92","3714,24"
1,Adult,"99,51","6,28","46,39"
2,Adventure,"43,76","7,06","3366,59"
3,Animation,"23,22","7,06","976,71"
4,Biography,"77,22","7,18","3755,11"
5,Comedy,"46,71","6,89","1418,96"
6,Crime,"62,33","7,09","2533,74"
7,Documentary,"59,05","7,23","198,21"
8,Drama,"65,26","6,96","2024,11"
9,Family,"40,44","7,02","903,36"
10,Fantasy,"49,49","7,0","3035,7"
11,Film-Noir,"82,25","6,47","4264,91"
12,Game-Show,"48,37","7,15","97,17"
13,History,"71,75","7,29","1396,93"
14,Horror,"57,97","5,98","2652,56"
15,Music,"69,17","7,09","944,67"
16,Musical,"79,29","6,53","1085,32"
17,Mystery,"60,53","7,07","2878,74"
18,News,"43,83","6,57","109,28"
19,Reality-TV,"43,62","7,01","78,54"
20,Romance,"68,82","6,77","2098,32"
21,Sci-Fi,"49,68","6,61","5865,85"
22,Short,"14,16","6,84","63,76"
23,Sport,"78,87","6,96","1285,0"
24,Talk-Show,"41,33","6,73","91,74"
25,Thriller,"75,98","6,24","4455,3"
26,War,"80,43","6,92","2245,61"
27,Western,"55,54","6,96","819,08"
28,\N,"83,58","6,48","30,75"
